country,hdi,lifeexpectancy,expectedyearsschooling,meanyearsschooling,gnipercapita,gnipercapitarank,hdirank
Turkmenistan,0.706,68.0,10.8,9.8,15594,-34,106
Gabon,0.702,66.5,12.8,8.2,16431,-40,109
Paraguay,0.702,73.2,12.7,8.4,8380,-2,108
Moldova,0.700,71.7,11.6,11.6,5554,22,110
Philippines,0.699,69.2,12.6,9.3,9154,-7,111
South Africa,0.699,63.4,13.3,10.1,11923,-23,111
Egypt,0.696,71.7,13.1,7.2,10355,-15,113
Indonesia,0.694,69.4,12.8,8.0,10846,-19,115
Viet Nam,0.694,76.5,12.7,8.2,5859,14,116
Bolivia,0.693,69.5,14.0,8.9,6714,5,116
Palestine,0.686,73.6,12.8,9.1,5055,21,116
Iraq,0.685,70.0,11.0,6.8,17789,-53,120
El Salvador,0.674,73.8,12.6,6.9,6868,0,119
Kyrgyzstan,0.672,71.1,13.4,10.9,3255,32,121
Morocco,0.667,76.1,12.4,5.5,7340,-5,122
Nicaragua,0.658,75.7,12.1,6.7,5157,14,123
Cabo Verde,0.654,73.0,12.6,6.1,5983,2,124
Guyana,0.654,66.8,11.4,8.4,7447,-8,124
Guatemala,0.650,73.7,10.8,6.5,7278,-8,126
Tajikistan,0.650,71.2,11.2,10.4,3317,25,127
Namibia,0.647,64.9,12.3,6.8,9387,-25,128
India,0.640,68.8,12.3,6.4,6353,-5,129
Micronesia,0.627,69.3,11.7,8.0,3843,13,131
Timor-Leste,0.625,69.2,12.8,4.5,6846,-10,130
Honduras,0.617,73.8,10.2,6.5,4215,8,132
Bhutan,0.612,70.6,12.3,3.1,8065,-21,135
Kiribati,0.612,66.5,12.9,7.9,3042,22,134
Bangladesh,0.608,72.8,11.4,5.8,3677,9,138
Congo,0.606,65.1,11.4,6.3,5694,-5,133
Vanuatu,0.603,72.3,10.9,6.8,2995,19,136
Lao Peoples Democratic Republic,0.601,67.0,11.2,5.2,6070,-13,137
Ghana,0.592,63.0,11.6,7.1,4096,3,140
Equatorial Guinea,0.591,57.9,9.3,5.5,19513,-80,139
Kenya,0.590,67.3,12.1,6.5,2961,16,143
Sao Tome and Principe,0.589,66.8,12.5,6.3,2941,16,144
Eswatini,0.588,58.3,11.2,6.5,7620,-29,141
Zambia,0.588,62.3,12.5,7.0,3557,3,141
Cambodia,0.582,69.3,11.7,4.8,3413,3,146
Angola,0.581,61.8,11.8,5.1,5790,-16,145
Myanmar,0.578,66.7,10.0,4.9,5567,-15,147
Nepal,0.574,70.6,12.2,4.9,2471,12,148
Pakistan,0.562,66.6,8.6,5.2,5311,-14,149
Cameroon,0.556,58.6,12.2,6.3,3315,2,150
Solomon Islands,0.546,71.0,10.2,5.5,1872,15,151
Papua New Guinea,0.544,65.7,10.0,4.6,3403,-3,151
Tanzania,0.538,66.3,8.9,5.8,2655,6,154
Syrian Arab Republic,0.536,71.0,8.8,5.1,2337,8,153
Zimbabwe,0.535,61.7,10.3,8.1,1683,17,155
Nigeria,0.532,53.9,10.0,6.2,5231,-20,156
Rwanda,0.524,67.5,11.2,4.1,1811,11,157
Lesotho,0.520,54.6,10.6,6.3,3255,-4,159
Mauritania,0.520,63.4,8.6,4.5,3592,-13,159
Madagascar,0.519,66.3,10.6,6.1,1358,20,158
Uganda,0.516,60.2,11.6,6.1,1658,13,162
Benin,0.515,61.2,12.6,3.6,2061,2,161
Senegal,0.505,67.5,9.7,3.0,2384,-2,165
Comoros,0.503,63.9,11.2,4.8,1399,15,163
Togo,0.503,60.5,12.4,4.8,1453,14,164
Sudan,0.502,64.7,7.4,3.7,4119,-25,165
Afghanistan,0.498,64.0,10.4,3.8,1824,0,168
Haiti,0.498,63.6,9.3,5.3,1665,6,167
Côte dIvoire,0.492,54.1,9.0,5.2,3481,-22,169
Malawi,0.477,63.7,10.8,4.5,1064,14,170
Djibouti,0.476,62.6,6.2,4.1,3392,-21,170
Ethiopia,0.463,65.9,8.5,2.7,1719,-1,173
Gambia,0.460,61.4,9.2,3.5,1516,4,173
Guinea,0.459,60.6,9.1,2.6,2067,-11,177
Congo,0.457,60.0,9.8,6.8,796,12,176
Guinea-Bissau,0.455,57.8,10.5,3.0,1552,0,175
Yemen,0.452,65.2,9.0,3.0,1239,5,172
Eritrea,0.440,65.5,5.4,4.0,1750,-9,178
Mozambique,0.437,58.9,9.7,3.5,1093,4,179
Liberia,0.435,63.0,10.0,4.7,667,9,180
Mali,0.427,58.5,7.7,2.3,1953,-16,181
Burkina Faso,0.423,60.8,8.5,1.5,1650,-7,182
Sierra Leone,0.419,52.2,9.8,3.5,1240,-2,184
Burundi,0.417,57.9,11.7,3.0,702,4,183
Chad,0.404,53.2,8.0,2.3,1750,-15,185
South Sudan,0.388,57.3,4.9,4.8,963,-1,186
Central African Republic,0.367,52.9,7.2,4.3,663,3,187
